(chess-engine) henry@fedora:~/Desktop/code/chess-engine$ python train_unified.py     --resume-from ./checkpoints/phase1/checkpoint_step_90000.pt     --dataset-type action_value     --dataset-path ./searchless_chess/data/train     --batch-size 64     --total-steps 200000     --learning-rate 3e-4     --warmup-steps 5000     --d-model 512 --n-layers 12 --n-heads 8 --d-ff 2048     --dropout 0.1 --drop-path 0.1     --grad-accum-steps 2     --grad-clip 1.0     --output-dir ./checkpoints/phase1 --log-interval 50 --precision fp32
[startup] cuda_count=1 precision=fp32 rank=0 world=1 local_rank=0 device=cuda:0 amp=off
Resumed from ./checkpoints/phase1/checkpoint_step_90000.pt at step 90000
Step 94150/200000, lr=1.701179e-04, loss=3.7305, time=23.1s
Step 94200/200000, lr=1.699981e-04, loss=3.6997, time=21.0s
Step 94250/200000, lr=1.698784e-04, loss=3.8035, time=21.0s
Step 94300/200000, lr=1.697586e-04, loss=3.8560, time=21.0s
Step 94350/200000, lr=1.696388e-04, loss=3.8077, time=21.0s
Step 94400/200000, lr=1.695190e-04, loss=3.8878, time=21.0s
Step 94450/200000, lr=1.693992e-04, loss=3.7103, time=21.0s
Step 94500/200000, lr=1.692794e-04, loss=3.8742, time=21.0s
Step 94550/200000, lr=1.691596e-04, loss=3.7849, time=21.0s
Step 94600/200000, lr=1.690397e-04, loss=3.8595, time=21.0s
Step 94650/200000, lr=1.689199e-04, loss=3.6871, time=21.0s
Step 94700/200000, lr=1.688000e-04, loss=3.7894, time=21.0s
Step 94750/200000, lr=1.686801e-04, loss=3.8526, time=21.0s
Step 94800/200000, lr=1.685602e-04, loss=3.8074, time=21.0s
Step 94850/200000, lr=1.684403e-04, loss=3.7657, time=21.0s
Step 94900/200000, lr=1.683204e-04, loss=3.8456, time=21.0s
Step 94950/200000, lr=1.682004e-04, loss=3.7460, time=21.0s
Step 95000/200000, lr=1.680805e-04, loss=3.8434, time=21.0s
Step 95050/200000, lr=1.679605e-04, loss=3.8587, time=21.0s
Step 95100/200000, lr=1.678406e-04, loss=3.7612, time=21.0s
Step 95150/200000, lr=1.677206e-04, loss=3.8547, time=21.0s
Step 95200/200000, lr=1.676006e-04, loss=3.9145, time=21.0s
Step 95250/200000, lr=1.674806e-04, loss=3.7422, time=21.0s
Step 95300/200000, lr=1.673606e-04, loss=3.8170, time=21.0s
Step 95350/200000, lr=1.672406e-04, loss=3.8686, time=21.0s
Step 95400/200000, lr=1.671205e-04, loss=3.7252, time=21.1s
Step 95450/200000, lr=1.670005e-04, loss=3.9087, time=21.0s
Step 95500/200000, lr=1.668804e-04, loss=3.7744, time=21.0s
Step 95550/200000, lr=1.667604e-04, loss=3.8278, time=21.0s
Step 95600/200000, lr=1.666403e-04, loss=3.8394, time=21.0s
Step 95650/200000, lr=1.665202e-04, loss=3.8347, time=21.0s
Step 95700/200000, lr=1.664001e-04, loss=3.7824, time=21.0s
Step 95750/200000, lr=1.662800e-04, loss=3.7461, time=21.0s
Step 95800/200000, lr=1.661599e-04, loss=3.8771, time=21.0s
Step 95850/200000, lr=1.660397e-04, loss=3.7851, time=21.0s
Step 95900/200000, lr=1.659196e-04, loss=3.8399, time=21.0s
Step 95950/200000, lr=1.657994e-04, loss=3.8603, time=21.0s
Step 96000/200000, lr=1.656793e-04, loss=3.9116, time=21.0s
Step 96050/200000, lr=1.655591e-04, loss=3.8522, time=21.0s
Step 96100/200000, lr=1.654389e-04, loss=3.6909, time=21.0s
Step 96150/200000, lr=1.653187e-04, loss=3.8088, time=21.0s
Step 96200/200000, lr=1.651985e-04, loss=3.7845, time=21.0s
Step 96250/200000, lr=1.650783e-04, loss=3.7702, time=21.0s
Step 96300/200000, lr=1.649581e-04, loss=3.8652, time=21.0s
Step 96350/200000, lr=1.648378e-04, loss=3.8871, time=21.0s
Step 96400/200000, lr=1.647176e-04, loss=3.7217, time=21.0s
Step 96450/200000, lr=1.645973e-04, loss=3.7873, time=21.0s
Step 96500/200000, lr=1.644771e-04, loss=3.8832, time=21.0s
Step 96550/200000, lr=1.643568e-04, loss=3.7489, time=21.0s
Step 96600/200000, lr=1.642365e-04, loss=3.8894, time=21.0s
Step 96650/200000, lr=1.641162e-04, loss=3.8619, time=21.0s
Step 96700/200000, lr=1.639959e-04, loss=3.8274, time=21.0s
Step 96750/200000, lr=1.638756e-04, loss=3.7531, time=21.0s
Step 96800/200000, lr=1.637553e-04, loss=3.8030, time=21.0s
Step 96850/200000, lr=1.636350e-04, loss=3.8123, time=21.0s
Step 96900/200000, lr=1.635147e-04, loss=3.7858, time=21.0s
Step 96950/200000, lr=1.633943e-04, loss=3.8553, time=21.0s
Step 97000/200000, lr=1.632740e-04, loss=3.8640, time=21.0s
Step 97050/200000, lr=1.631536e-04, loss=3.8403, time=21.0s
Step 97100/200000, lr=1.630332e-04, loss=3.8272, time=21.0s
Step 97150/200000, lr=1.629129e-04, loss=3.7961, time=21.0s
Step 97200/200000, lr=1.627925e-04, loss=3.7029, time=21.0s
Step 97250/200000, lr=1.626721e-04, loss=3.7917, time=21.0s
Step 97300/200000, lr=1.625517e-04, loss=3.7812, time=21.0s
Step 97350/200000, lr=1.624313e-04, loss=3.8615, time=21.0s
Step 97400/200000, lr=1.623108e-04, loss=3.8083, time=21.0s
Step 97450/200000, lr=1.621904e-04, loss=3.7988, time=21.0s
Step 97500/200000, lr=1.620700e-04, loss=3.8325, time=21.0s
Step 97550/200000, lr=1.619495e-04, loss=3.7419, time=21.0s
Step 97600/200000, lr=1.618291e-04, loss=3.9293, time=21.0s
Step 97650/200000, lr=1.617086e-04, loss=3.8063, time=21.0s
Step 97700/200000, lr=1.615882e-04, loss=3.8157, time=21.0s
Step 97750/200000, lr=1.614677e-04, loss=3.8624, time=21.0s
Step 97800/200000, lr=1.613472e-04, loss=3.8153, time=21.0s
Step 97850/200000, lr=1.612267e-04, loss=3.8445, time=21.0s
